Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2024-05-19,"Was in CSC542 but not listed here. Prof Aguiar gives a reasonable amount of work and is fair in her grading criteria. She is always available after class, and is very approachable, friendly and helpful. The lectures were interesting and informative. I highly recommend taking her CSC classes if you get the chance.",5.0,3.0,"Clear grading criteria, Gives good feedback, Caring",CSC431,True,non mandatory,A,3,0,1
2021-12-16,"Her lecture was fine, even sometimes interesting, but the grading is really a mess",4.0,5.0,"Lots of homework, Lecture heavy, Tough grader",CSC423,True,mandatory,B,5,0,0
2021-12-15,"I really liked professor Aguiar. This class has lots of work: a midterm and a final, 5 quizzes, 3 assignments, and a big project divided into 3 parts. However, she gave us many opportunities for extra credit to improve our grades. Not the easiest class but you will definitely learn something. I recommend reading the book.",5.0,4.0,"Gives good feedback, Lots of homework, Accessible outside class",CSC423,True,mandatory,A+,5,0,0
2021-11-29,This is my second class with professor Aguiar. She is very kind and willing to help students will anything. She is very open for office hours. One of the best teachers in the department. Class topics are hard but she makes it understandable.,5.0,4.0,"Gives good feedback, Get ready to read, Caring",CSC423,True,non mandatory,B+,5,1,0
2021-06-22,"I really enjoyed Intro to Software Engineering with Dr. Aguiar-Pulido! The class grade was largely group project/presentation based, with lots of revision opportunities available to improve your work/grade. Additionally we got to provide peer feedback on projects as a class, which was actually really cool. I really enjoyed it! Would take again!",5.0,3.0,"Gives good feedback, Participation matters, Group projects",CSC431,True,,A,0,0,0
2020-12-16,"Class was ridiculously hard. Her teaching style is not effective and leaves many (if not all) students confused about the material. She's a little hard to understand, but doesn't make up for the fact that she seems confused at times too. Super tough grader with poor feedback. I wouldn't recommend her to anyone! Just not worth it... very stuck up",1.0,5.0,"Lots of homework, Skip class? You won't pass., Tough grader",CSC423,True,non mandatory,Rather not say,5,2,2
2020-12-11,"This class was an absolute mess. We had 4 quizzes, 4 assignments, a midterm, a non-cumulative final, and a project that counted for 35% of our grade which was completely unnecessary. The lectures, feedback about work, and due dates were never clear whatsoever. I would not recommend taking this prof at all! Wait another semester for a different prof",1.0,4.0,"Graded by few things, Lecture heavy, Tough grader",CSC423,True,non mandatory,,5,0,1
