Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2020-04-21,"Professor Ashemimry was a really great teacher in retrospect. She is tough but fair and really makes sure you get your money's worth. You will learn more in her classes than most professors but you will work harder also. She should give more partial credit on exams, however, as you either get an A or a C/D not much in between.",5.0,5.0,"Lots of homework, Inspirational, EXTRA CREDIT",MAE471,True,mandatory,A+,5,0,0
2020-02-06,"Wish she would go over more problems rather than extremely long derivations. Other than that, she's a good teacher that cares about you knowing where the equations come from and when and how to use them. This is a very difficult class, but I would say her tests were very fair. She just really needs to work on learning how to give partial credit.",4.0,4.0,"Lots of homework, Skip class? You won't pass., Tough grader",MAE471,True,mandatory,,5,0,0
2019-12-03,Constantly berates students work and intelligence and actively tries to fail students and brags about it claiming its &quot;not her problem&quot;. Treats students like they are children and grades unfairly and then acts like her class is the only class we should care about. Almost never accessible outside of class cause she is &quot;too busy&quot;. Avoid if possible,2.0,4.0,"Lots of homework, Test heavy, Tough grader",MAE471,True,mandatory,Not sure yet,5,0,0
