Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2017-05-05,If you need help or need something cleared. She will break it down very well and she's very knowledgeable.,5.0,4.0,"Gives good feedback, Respected, Amazing lectures",CSC314,True,non mandatory,B+,5,0,0
2017-02-01,"She's very helpful with the class work and practicum. I would recommend going to her every week to make sure you get the A. Just make sure you understand how to do the operations for the test, and have her explain EVERYTHING to you. Bring extra problems from the book in case you don't get something and she'll even help you with that! Best TA ever.",5.0,4.0,"Gives good feedback, Respected, Hilarious",CSC314,True,,,5,5,0
